uniqueid,healthid,uploadtime,recordtime,externalid,height,weight,age,gender,wear,wrist,airbag
40c50fa2dfe54755aed56bfb20c64ff0_9HNU21007_F0:FA:C7:49:69:8E,40c50fa2dfe54755aed56bfb20c64ff0,2026-07-21 23:27:44,2026-07-21 23:27:44,9HNU21007,177,68,23,男,左手佩戴,150,M
5251f62caa604ee69868f7ab9396904f_HNU212020873_F0:FA:C7:49:68:73,5251f62caa604ee69868f7ab9396904f,2026-07-21 19:58:40,2026-07-21 19:58:40,HNU212020873,180,80,26,男,左手佩戴,150,M
5251f62caa604ee69868f7ab9396904f_HNU212020_F0:FA:C7:49:68:73,5251f62caa604ee69868f7ab9396904f,2026-07-21 19:58:25,2026-07-21 19:58:25,HNU212020,180,80,26,男,左手佩戴,150,M
5251f62caa604ee69868f7ab9396904f_873_F0:FA:C7:49:68:73,5251f62caa604ee69868f7ab9396904f,2026-07-21 19:49:31,2026-07-21 19:49:31,873,180,80,26,男,左手佩戴,150,M
5251f62caa604ee69868f7ab9396904f_HNU21020_F0:FA:C7:49:68:73,5251f62caa604ee69868f7ab9396904f,2026-07-21 19:46:17,2026-07-21 19:46:17,HNU21020,180,80,26,男,左手佩戴,150,M
31ee3811604d49f6a6221ee3164ee2a2_HNU21015_F0:FA:C7:49:69:D5,31ee3811604d49f6a6221ee3164ee2a2,2026-07-21 17:06:48,2026-07-21 17:06:48,HNU21015,168,53,28,女,左手佩戴,150,M
2341c0bd05c245b48227e801f12ef777_HNU21024_F0:FA:C7:49:66:C7,2341c0bd05c245b48227e801f12ef777,2026-07-21 16:42:30,2026-07-21 16:42:30,HNU21024,178,70,25,男,左手佩戴,150,M
a65f41c8af79414aba9149fe0b965c63_HNU21018_F0:FA:C7:49:61:9D,a65f41c8af79414aba9149fe0b965c63,2026-07-21 16:03:49,2026-07-21 16:03:49,HNU21018,175,69,24,男,左手佩戴,150,M
8968798a05794717937cb791b395f7e5_HNU21023_F0:FA:C7:49:69:22,8968798a05794717937cb791b395f7e5,2026-07-21 16:01:52,2026-07-21 16:01:52,HNU21023,151,40,23,女,右手佩戴,144,M
6b7be900a0c4463eb6ae232f43e9360f_HNU21011_F0:FA:C7:49:67:C2,6b7be900a0c4463eb6ae232f43e9360f,2026-07-21 02:28:50,2026-07-21 02:28:50,HNU21011,176,63,23,男,左手佩戴,150,M
45a6f0b98c984c9e9e94cef60e9347c0_HNU20008_F0:FA:C7:49:66:90,45a6f0b98c984c9e9e94cef60e9347c0,2026-07-21 00:05:56,2026-07-21 00:05:56,HNU20008,177,103,26,男,左手佩戴,152,M
0e5a3c71c1244bc2ba9c2879c143e77c_HNU21007_F0:FA:C7:49:69:8E,0e5a3c71c1244bc2ba9c2879c143e77c,2026-07-20 23:49:00,2026-07-20 23:49:00,HNU21007,178,69,23,男,左手佩戴,150,M
bdd40cc9c9924b19ba892059f50f5317_HNU21010_F0:FA:C7:49:66:F7,bdd40cc9c9924b19ba892059f50f5317,2026-07-20 23:11:50,2026-07-20 23:11:50,HNU21010,173,65,23,男,左手佩戴,151,M
0e5a3c71c1244bc2ba9c2879c143e77c_98E_F0:FA:C7:49:69:8E,0e5a3c71c1244bc2ba9c2879c143e77c,2026-07-20 21:34:54,2026-07-20 21:34:54,98E,168,60,26,男,左手佩戴,150,M
0a360ab44f314a04aee90c23081d76c9_HNU21009_F0:FA:C7:49:69:90,0a360ab44f314a04aee90c23081d76c9,2026-07-20 21:14:05,2026-07-20 21:14:05,HNU21009,170,66,23,男,左手佩戴,150,M
76f1f63d9b6b4b93b78c3404d9195ff0_HNU 21013_F0:FA:C7:49:67:C0,76f1f63d9b6b4b93b78c3404d9195ff0,2026-07-20 20:56:03,2026-07-20 20:56:03,HNU 21013,157,62,25,女,左手佩戴,150,M
0b2abbd439fc46fc992477362f6b9a75_HNU21005_F0:FA:C7:49:6A:C3,0b2abbd439fc46fc992477362f6b9a75,2026-07-20 16:34:12,2026-07-20 16:34:12,HNU21005,158,46,23,女,左手佩戴,150,M
cbceb07f957f4a01a67c55e8931823f4_HNU21004_F0:FA:C7:49:67:CE,cbceb07f957f4a01a67c55e8931823f4,2026-07-20 16:24:43,2026-07-20 16:24:43,HNU21004,170,51,25,男,左手佩戴,150,M
eb3e1f8c9f8d434c83cdb803668f1cea_HNU21003_F0:FA:C7:49:69:AF,eb3e1f8c9f8d434c83cdb803668f1cea,2026-07-20 16:19:50,2026-07-20 16:19:50,HNU21003,160,47,24,女,左手佩戴,140,M
7d7a2ffd9ce0464286ede8776b8acb9b_HNU21002_F0:FA:C7:49:68:8F,7d7a2ffd9ce0464286ede8776b8acb9b,2026-07-20 16:07:28,2026-07-20 16:07:28,HNU21002,167,57,23,女,左手佩戴,153,M
bb7d64fdd0ff4dab88ea1e87c275f500_HNU21001_F0:FA:C7:49:69:9A,bb7d64fdd0ff4dab88ea1e87c275f500,2026-07-20 16:02:51,2026-07-20 16:02:51,HNU21001,172,74,24,男,左手佩戴,150,M
